CP Num,Title,System,Component,Item,Description,Solution
"0143","DMS - Missing Transfer Sale Option","NA-GBMS 3","POINT OF SALE","TRANSFER","CP0143  Missing the TRANSFER option on POS menu.","""Dealers must go into their A/R Profile and set the """"Intracompany Transfer"""" field to a """"Y"""" and the A/R Control Location should be their Corporate Terr#.  Some other parameters that need to be set on the A/R Profile screen are:
    Credit Line Mandatory
    Credit Auth Required
    Stop Sale if over Limit
    Stop Sale if Past Due"""
"0166","Sonsio-Dealer","NA-GBMS 3","POINT OF SALE","SONSIO","CP0166 Dlr using Sonsio or an other private company for their road hazard adjustment and needs to bill the customer for the services, tax and any percent of wear and the Road hazard Company for the adjusted tire.","""1. Set up the Road Hazard Company as an A/R Account.
2. Bill the Replacement Tire for the full value to the Road Hazard Company on the A/R account.
3.  Enter the customer name in the """"SHIP-TO INFO"""" (F3 from the alternate  set of function keys off POS Customer Work Order) section of the  invoice.
4.  Include any services (Balancing, Valves, Tire Fees, etc) on the invoice and allow sales tax to generate.  The customer is obligated to pay any adjusted replacement price, services and taxes.
5.  Depending on the customers method of payment:
     - If cash/check enter the amount as a down payment on the invoice which  leaves the remainder of the adjustable tire price to the Road Hazard Company.
     - If credit card or A/R Account the location will have to enter a credit on the invoice using a code such as 046504 for this amount which leaves the remainder of the adjustable tire price to the Road Hazard Company.  The location must then issue an invoice using the 046504 to the appropriate option (credit card or a/r charge)."""
"0186","Receipt a Will Call Tire Shipment","NA-GBMS 3","INV ADMIN","ROM","CP0186 Need to receipt tires from a Goodyear Will Call shipment.","Use option 1 from the Receipt of Mdse menu ""Manual for Goodyear and Payable Vendors"".  Use Vendor #1 for Goodyear Tire Shipments."
"0192","Shock & Strut Warranty (Monroe, Trust, Goodyear)","NA-GBMS 3","POINT OF SALE","CAS WARRANTY","CP0192 Shock/Strut Warranty Procedures for Monroe, Trust and/or Goodyear","""Shocks & Struts are not covered under CAS Warranty.

Refer the Company Owned Location to the """"Monroe Shocks & Strut"""" Black Book labeled """"The Best Ride Together"""" page 13 under the Procedures & Forms tab.  There are 3 different procedures depending on the brand (Monroe, Trust, Goodyear)."""
"0235","RETREAD CODES MUST ENTER C/O FIELD","NA-GBMS 3","POINT OF SALE","MDSE VERIFY","CP0235 RETREAD CODES ARE PROMPTING FOR A ""C"" OR ""N"" FOR THE C/O FIELD.","""ON MDSE VERIFY THE SYSTEM WILL PROMPT FOR A """"C"""" OR """"N"""" WHEN SELLING A 9 DIGIT RETREAD CODE.
C = CUSTOMER OWNED
N = NON - CUSTOMER OWNED."""
"0237","SAME DAY INSTALLATION OF TRIAD CD","NA-GBMS 3","ADMIN","INSTALL TRIAD","CP0237 LOCATION NEEDS TO LOAD TRIAD CD NOW.","""1. Have location return all terminals / sessions to """"login"""" or GBMS except
Terminal 1 Session 1.
2. From T1S1 on Main Menu type in the SCID,  """"TINCD"""" , Press enter.
3. The CHANGE TRIAD CD Screen will appear.
NOTE:  IF any sessions are active, they will be displayed on the screen, advise location to return them to GBMS.
4. From the CHANGE TRIAD CD screen,
advise the location when changing any CD you MUST be on this screen. Take out the OLD TRIAD CD, install the NEW TRIAD CD.
5. Press F1 to install the NEW TRIAD CD.  The message Reading CD should display on the screen and they change to Updating CD please wait.
6. Upon completion of the Triad CD. all terminals and sessions will return to """"login""""."""
"0243","Change Printer Assignment","NA-GBMS Hardware","PRINTER","","CP0243 Changing printer assignment from POS, DR, etc.","Hold down the SHIFT KEY & F10 key. This will display the instructions on the screen.  To change the printer number keep pressing the F10 key until the printer number you want is showing inside the instruction box. After you have the correct number displayed in the box, press enter.  This terminal is now assigned to another printer."
"0260","Write off A/R Acct","NA-GBMS 3","A/R","AR OPTIONS","CP0260 Dealer wants to write off an A/R Account.","""Process an A/R (Accounts Receivable)
Journal Ticket.
1) From Main Menu select Accounts Receivable (Option 10) or type in SCID- AROPT.
2) From A/R menu select A/R Options (Option 2)
3) From A/R Options, key your emp #, tab, key in 7 (Journal Tickets), tab, key in the account number and press enter.
4) The account number 10100 will generate in the code field (this is accounting code for accounts receivable). Key in the reason for issuing the journal ticket, press tab.
5) Enter a credit amount for the balance on this account. (ex: -100.00) press enter.
6) Key in the acct # 53800 (if NO Bad Debt Reserve Setup) OR acct # 10400 (if Bad Debt Reserve IS Setup) tab to the amount and make the debit entry for the same amount.
7) Press F7 to print the journal ticket.
8) Location will have to go into A/R Cash Receipts and select the account and apply the unapplied to complete the process."""
"0263","Canada Zip Code Invalid","NA-GBMS 3","ADMIN","ZIP CODE MAINT","CP0263 ""Canada customer - Zip code is invalid, format is 5-9 numeric digits.
The format is ANANAN for Canada's zip codes and that is what is being entered.""","The incorrect state code is being entered on the document.  For Canada the correct state code in GBMS is CD."
"0269","Display Audit Trail","NA-GBMS 3","DISPLAY AUDIT TRAIL","DISPLAY AUDIT TRAIL","CP0269 How do I display the audit trail on my screen?","""From the Main Menu type in scid DAT and press enter. The daily audit trail will display on the screen.
OR
From Main Menu type in the option for End of Day, press enter.
Choose the option to Display Audit Trail and press enter. The Audit Trail displays.

F-6 = Display Pending
F-7 = Change DBS Seq (allows you to
         view previous days Audit Trail)."""
"0272","Clear small credit bal on A/R Acct","NA-GBMS 3","A/R","AR OPTIONS","CP0272 Dealer wants to clear a small credit balance on an A/R Account.","""Process an A/R (Accounts Receivable) Journal Ticket.
1) From Main Menu select Accounts Receivable (Option 10) or type in scid - AROPT.
2) From A/R menu select A/R Options (Option 2)
3) From A/R Options, key your emp #, tab, key in 7 (Journal Tickets), tab, key in the account number and press enter.
4) The account number 10100 will generate in the code field (this is the accounting code for accounts receivable). Key in the reason for issuing the journal ticket, press tab.
5) Enter a debit amount for the balance on this account. (ex: .05) press enter.
6) Key in the acct # 44800 (Other Misc Income), tab to the amount and make the credit entry for the same amount.
7) Press F7 to print the journal ticket.
8) Location will have to go into A/R Cash Receipts and select the account and apply the unapplied to complete the process."""
"0273","Clear Late Charges on an A/R Account","NA-GBMS 3","A/R","AR PAYMENTS","CP0273 Dealer wants to clear a Late Charge on an A/R account.","""Process an Accounts Receivable Cash Receipt.
1) From Main Menu select Accounts Receivable (Option 10) or type in scid - ARPAY.
2) From the A/R Menu, select A/R Payments (Option 1), press enter.
3) Type in your emp #, tab, type in option 2 (cash/check receipt), tab to Last Name, type in the last name or type in the Account # and press enter.
4) The cursor  is in the check # field, press enter.
5) The cursor drops to the line # at the bottom of the screen, type in the line # of the line you want to deduct the late charges from, tab to the Adjustment Amount, type in the amount of the late charge, tab to the Code and type in W and press enter.
6) Press the F7 key (Save/Print).
That line is reduced by the late charge amount."""
"0284","Send a Check to A/R Customer","NA-GBMS 3","A/R","AR PAYMENTS","CP0284 Dealer wants to send an A/R customer a check for the credit balance on his account?","""The location has 2 choices.
1) Process a Quick Check to the A/R customer. From Main Menu select the option for Vendor Payables.
2) Select the option for Quick Check.
3) Use the accounting code of 50800 (Misc Sales & Office) for the amount of the credit balance on the A/R Account.
4) Print the Quick Check.
5) Process an A/R Journal Ticket to the A/R account.  Debit code 10100 (Accts Rec) and Credit code 50800 (Misc Sales & Office) for the account balance on the account.
6) To complete the process, advise to go into A/R Payments and bring up the A/R account and press enter, apply the unapplied money and print the cash receipt.

                      OR
1) The location may hand write a 'manual check' to the customer. DO NOT ENTER  THIS MANUAL CHECK INTO THE GBMS SYSTEM.
2) Process an A/R Journal Ticket to the account. Debit account code 10100 (Accounts Receivable) and Credit account code 10000 (Cash).
3) To complete the process, advise to go back into the account and apply the unapplied money and print the cash receipt."""
"0300","Sales Tax Report","NA-GBMS 3","ACCOUNTING","REPORTS","CP0300 Dealer requesting help with or needs copy of Month End Sales Tax Report.","1)  Needs help finding/printing Sales Tax Sumary from GBMS.

2)  Fax G-1093 Report to store."
"1003","Dealer cannot transfer a payment","NA-GBMS 3","A/R","AR PAYMENTS","CP1003 Dealer doesn't have the option on the CR screen to transfer a payment to another one of their locations.(search: ar transfer, AR transfer payment ,  AR TRANSFER PAYMENT)","""TO ACTIVATE THE OPTION FOR CASH RCPT TO DISPLAY """"TRANSFER"""":
1) SELECT ADMINISTRATION(5) OPTION FROM MAIN MENU
2) SELECT A/R PROF OPTION(10)
3) TAB TO THE INTRACOMPANY TRANSFER FIELD & TYPE """"Y"""", THEN PRESS ENTER.
4) BACK OUT OF CASH RECEIPTS AND RETURN TO """"GBMS""""
5) SELECT CASH RECEIPT (9) FROM MAIN MENU
6) TRANSFER PAY OPTION APPEARS AS OPT#2"""
"1012","Access to Goodyear Casing Exchange Internet Site","NA-GBMS Tire HQ","","","CP1012 How can I access the Goodyear Casing Exchange Internet Site?","""Info -> Links -> Goodyear Casing Exchange Internet Site.
   Userid = Nonsig# for Retrd Plant
   Password = Casings
Mike Gilchrist is in charge of this site.  Contact Mike at 796-6543 or GTN 446-6543."""
"1018","ACCOUNTING CODES","NA-GBMS 3","ACCOUNTING","ACCTING CODES","CP1018 Needs to know what codes to use for issuing correcting Journal Tickets, paid outs, Quick Checks, etc. for booking/correcting  the General Ledger.","Determine what the dealer is attempting to correct and suggest appropriate accounting codes and offsets to use for  booking/changing General Ledger account balances."
"1027","Transferred to/from Suspense","NA-GBMS Tire HQ","ENROLL","ENROLL","CP1027  Dealer was ""TRANSFER TO SUSPENSE"" but now has been ""REMOVED FROM SUSPENSE"" and needs access to TireHQ.

(for a username and password for Tire-HQ - none ever issued - use CP1080)
(for user names that were deleted - use CP911)","
If dealer has been ""REMOVED FROM SUSPENSE"" & their nonsig shows as ACTIVE status in WAD and ""Y"" in Customer Database ---->   Check to see if the NonSig is in Tire-HQ Users.  If the NonSig is not there, then the dealer will need to re -enroll."
"1032","Account 15400-Inventory Adjs.","NA-GBMS 3","ACCOUNTING","ACCTING FLOW","CP1032 What gets booked to this G/L account?","Physical inventory adjustments get booked to this account at the end of the month in which it is finalized (Akron Jt 9010 - cycle A and Jt 9011 - cycle B.)  The following month, these differences are automatically moved to cost-of-sales accounts 42700 (9011) and 42800 (9010) to book against the P or L.  Any balance that stays in this account for more than 60 days will be something the dealer manually entered and will stay there until he manually moves it."
"1035","Selling Company VEHICLE/ASSETS","NA-GBMS 3","ACCOUNTING","ACCTING FLOW","CP1035 How to account for selling a vehicle or company asset?","Issue Std Jt crediting Asset account 15600 for the ORIGINAL value of the asset.  Debit 15800, Depreciation for the cumulative amount depreciated since the asset was purchased.  The difference is called the Book Value of the asset.  If it is sold above the Book Value, complete the jt by debiting cash account 10000  for the amount paid and credit 44800, Other Misc Income for the excess profit above Book Value.  If sold below Book Value, Debit 44800 as a LOSS."
"1042","Bartering for Service Performed","NA-GBMS 3","ACCOUNTING","ACCTING CODES","CP1042 A/R customer performed service for dealer and wants to trade cost of his service for balance owed on his store A/R account.","""1)  Issue A/R JT to the customer's accont, credit 10100 and debit the appropriate expense code for service performed.

2)  In the case of a payable vendor, issue the A/R jt but debit a misc. asset code (17100 or 17200, etc.)  Then process a negative payable input register for the vendor against the missc. asset cde to wash out."""
"1064","ACCTG FLOW Workshop","NA-GBMS 3","ACCOUNTING","ACCTING FLOW","CP1064 Wants to attend Akron Acctg Class","Faxed copy of Acctg Flow Seminar registration to store to complete and return to GBMS for scheduling in future class."
"1069","DLR - How to Process Payable Check","NA-GBMS 3","VENDOR PAYABLES","PAYABLES CHECK","CP1069 DLR - What is the process for processing payable checks?","""Select Payables Check (option 8) on the Vendor Payable menu,
Select Invoices for Payment (option 1) on the Payables Check menu, enter the due date and tab down to the VENDOR entry field and enter the vendor(s) to be paid.
Follow the prompt and press F4 to Begin Selection, waiting until all invoices have been selected for all chosen vendors.  Press F6 and enter (T) to print a pre-check register.
Review to be sure all invoices and dollar amounts are correct for each vendor. The systerm assumes checks are computer unless indicated manually.
Change Check Type and Modify Payament for ALL selected vendors before pressing the F5, Print check.
Computer checks will print and request a Final register print out.  In the case of manual checks, system will only print a check register."""
"1072","Government billing corrections","NA-GBMS 3","POINT OF SALE","MDSE VERIFY","CP1072 Government Billing:  How do I reverse a government invoice, Billing Code G with GS number that charged Federal Excise Tax? (Probably answered ""No"" to 'exemption certificate on file?' question at document total).","""Process a credit invoice as follows:
1. Bill out invoice with exactly the same information as before on tire line but as a credit with credit quantity TAB TO EXCISE TAX FIELD AND TYPE THE AMOUNT OF FET FOR EACH TIRE, press Enter.
2. Go to document total screen, type minus quantity on payment line, reference document number, reference date, press F5 print."""
"1080","Need Username and Password for Xplor","NA-GBMS Tire HQ","ENROLL","ENROLL","CP1080 Need a username and password for Tire-HQ (none ever issued)
(for user names that were deleted - use CP911)
(for associate enrollment - use CP1027)
(for remove from suspense - use CP1027)

Modified 02/11/2009 - MEP","""Advise the location that the User Administrator sets up Usernames & maintains passwords at their location.  If they are not enrolled, have them enroll in Tire-HQ.

Ask them if they are the User Administrator ?

No- Have them get with the User Administrator to assist/add user.  If they do not know who the Administrator is ... access User Reg (see steps below) & advise them. (If more than one User Admin, give them the UA that shares the same Head Office as them) If this is a Car Dealership, there is no User Admin, just one username.  (Channel 09)

Yes - Access User Reg to confirm UA & email address is correct/listed. If no email address avail, or  If they have an new email address to give you, ... for security purposes, call the location back using the phone number listed in WAD.  Once verified, update User Reg with this correct email address, then have user attempt Reset password again.  If no UA exists, get First, Last name, and email address, then transfer to Level 2 HD.
All  Retail Store Tire-HQ UA's are GSRxxxx (xxxx = Terr #). If a store manager wants to set themself up they must sign on Tire-HQ with their gsr # and go to register new user

How to locate User Admin:
1. Locate Common Ownership in WAD
2. Go to User Registration database (Lotus Notes), select View by Dealers by Common Owner/Customer
3. Type in Common Ownership (this example 0311), then """"enter"""" (if no common owner, type in their nonsig # using 9 numbers .. ex. 000900559)
4. Advise caller to contact that person to have them modify/provide access to Tire-HQ.
If the User Administrator is not listed, that means that their record was deleted due to inactivity (12 months), and a new record will need to be setup by Level 2 support."""
"1095","AVG COST/STD COST","NA-GBMS 3","ACCOUNTING","AVERAGE COST","CP1095 Standard Cost on tires received at sub location.","""1) Average cost was not established in the Akron Stock Ledger at time tires were xferred,
2) Cost defaults to Std Cost...25% below B-300, and books in at that level at the sub location,
3) the original recieving point gains the entire profit between Std and the revised Avg cost at month end via 9009 avg cost Jt.  Part or all of it belongs to the sub location.

In order for the sub location to resolve this is to
1) process Book and Screen inventory correction removing the tires at the Std cost, re-entering them at the correct Avg cost, and
2) issuing a Std jt crediting cost of sales (40900, 41000, 41100, etc.) of the sub location, charging (debiting) the cost of salesof the shipping location"""
"1119","POSTCARDS - Veh Inspection","NA-GBMS 3","ADMIN","CSFUP POSTCARDS","CP1119 How to generate postcards for vehicle inspection","""1.  Setup a postcard message that reads something  to this effect:  Your last vehicle inspection performed (the date will show on the postcard) shows on this card and your next inspection will be due soon.  They can add any additional information they want but should make them aware that the card does show the date of the last inspection and another is due next month.  The interval months should be 11 and the print times can be whatever they want it to be, recommend 2 .

2.  Setup the vehicle inspection code used on your invoices in
prod/service associated with message option in customer service follow up option.

3.  Go into option 5 print monthly postcards and use f6 to create postcards during maintenance.

4.  The next date after creating at night you can not print the postcards."""
"1123","NSF Fee payment prior to Bad Debt account establis","NA-GBMS 3","CASH RECEIPTS","NSF FEE","CP1123 How to take payment for an NSF check if the account for the bad debt has not been setup by Credit Center as yet?","Have the location use the ""Layaway"" option on Cash Receipt option to setup an account and post the payment.
Then when the Bad Debt account is established, they may perform a minus (-) A/R cash receipt to the Layaway account, to remove the cash, and in turn make another A/R cash receipt to the Bad Debt account.
Often, they are required to pay an NSF fee in the amount of $10. Split the payment amount that is due the Bad debt account from the $10 fee, which is posted via the NSF Fee option on Cash Receipt option."
"1127","M/E Dealer Sales Tax Report G1093","NA-GBMS 3","ADMIN","PRT AKRON REP","CP1127 Where do I find my Month End Sales Tax report?","It is under ADM to PRINT AKRON REPORTS to SECURITY REPORTS.  Look for G1093"
"1130","Training.goodyear.com","NA-GBMS Tire HQ","","","CP1130  Trying to access training.goodyear.com, and it is asking for a username and password.","""the username is """"nonsig""""
the password is """"xplor"""""""
"1132","Cancel a Tire Order","NA-GBMS Tire HQ","TIRES & ORDERING","ORDERS","CP1132 Need to cancel a tire order I submitted.","""Call InfoLink at 1-800-755-2772 .... (once an order is placed in Tire-HQ .... it cannot be deleted through Tire-HQ.)

CANADA LOCATIONS:

West Region calls:  800-665-4812
East Region calls:  800-361-3317"""
"1134","Retail Store Manager Change","NA-GBMS Tire HQ","ENROLL","ENROLL","CP1134 New Store Manager is calling for access to Tire-HQ.

Modified 10/17/2007""","All  Retail Store Tire-HQ UA's are GSRxxxx (xxxx = Terr #). If a store manager wants to set themself up they must sign on Tire-HQ with their gsr # and go to register new user"
"1147","Run Flat Tire Adjustment","NA-GBMS 3","POINT OF SALE","ADJUSTMENT","CP1147 How do I handle repairs or adjustments for the Run Flat tires?","Replacement ...  tire tread is within the range for no charge replacement  (12 mos / 2/32), process an adjustment doc. (Until the service request is completed to allow this adjustment on the PAC's screen the adjustment must be done on the merchandise verify screen.)
Repair ... done at No-charge to the customer, In order to get reimbursed for the no-charge tire repair made for the customer, the location will be required to fax a copy of the POS Adjustment showing the repair cost up to $50 to Customer Assistance/Product Service 330-796-6829.  Additional questions by the caller should be directed to 800-321-2136 Product Service / Customer Supp"
"1222","Adjustment Tires Lost by Freight Carrier","NA-GBMS 3","ADMIN","PAM","CP1222 Adjustment tires being shipped to Central Inspection Depot were lost by the Freight Carrier","""1.  The shipping Dealer or Company Owned Outlet should file a claim with the Freight Carrier.  They can use their Adjustment Manifest along with any other paperwork needed for proof of merchandise value.

2.  The location should send a copy of the claim paperwork to the Central Inspection Depot.

3.  Upon receipt of a copy of the claim against the carrier, the Central Inspection Depot will process the adjustments.

Reference: Memo from Fred Pfeiffer, Operations Administrator Product Service, dated 11/28/94"""
"1223","Memo Adjustment","NA-GBMS 3","POINT OF SALE","ADJUSTMENT","CP1223 How do I process a Memo Adjustment?","""1)  On the Product Adjustment screen Tab to the Correction field and type a """"M"""".  (memo)
2)  Tab to the adjustment type and type a """"B"""".
3)  Type the product code of the tire being adjusted.
4)  TAB to the tread depth and enter 0.
5)  TAB to purchase date and type the date and Press ENTER.
A Memo Adjustment will not generate a replacement tire.
This is the only merchandise that can be entered on this document. Will receive """"invalid merchandise for memo adjustment"""" if you enter any other code on this document.
FYI- STORES - CID will approve or deny on Product / Excise Tax Suspense Report.
FYI- DEALERS - CID will approve or deny on a K-Document.
ALL MEMO ADJUSTMENT TIRES MUST BE SENT BACK TO CID."""
"1224","Legal Adjustment","NA-GBMS 3","POINT OF SALE","ADJUSTMENT","CP1224 How do I process a Legal Adjustment?","?	After selecting the customer and vehicle, press F7 Adjustment.

?	On the PACS adjustment screen, enter the words ?Legal Adjustment"" in the Special Info field.

?	Now enter the Drive Type (F,R,4) and tab to the Adjustment Type field and type the letter ""L"".

?	Tab to the Product Code field and type the code of the tire to be adjusted, then tab to the Tread Depth field and type the number zero (0).

?	Tab to the purchase date and type the date when the tire being adjusted was purchased and then press enter.

?	Tab to the Condition field and enter the words ""Legal Adjustment"".

?	Tab to the Installed Miles field and type the mileage of the vehicle at the time the adjusting tire was purchased.

?	Tab to the Wheel Position field and type the position the tire was on ? choices are RR, LR, RF, LF, and SP (spare).

?	Tab to the Original Equipment field and enter Y or N, and then tab to the Current Mileage/Hr/Yr field and type the current mileage.

?	Now tab to the replacement tire field and delete the generated product code and tab to the price field and delete the generated price.

?	Now press enter. You will be prompted to press enter for additional tires to be adjusted, otherwise, press F6 Mdse Verify to view the adjustment line created as a no charge item.
Latest from Product Service: Notes://AHQNA004/85256BDF004F160E/DA70DABF23CCDAA985256761006A3A10/3EE454844C7DBBAB852578BC004EA060

TO VIEW DOCUMENTATION WITH SCREEN SHOTS: file://akrshare01/share/nat/GBMS\GBMS\DLRREL\Common%20Problems\Common%20Problem%201224%20with%20screenshots.doc"
"1225","Government Adjustment","NA-GBMS 3","POINT OF SALE","ADJUSTMENT","CP1225 How do I process a Government Adjustment?","""1) On the product adjustment screen TAB to the Ajustment Type and type in B.
2) Tab, type the product code of the tire being adjusted.
3) Tab, type the tread depth.
4) Tab, type the purchase date and PRESS ENTER.
5) Tab back to the buying price and type in the governments buying price if necessary.
IF Tax Exempt press F1, or else Enter.
PRESS F1 ON ALL GOVT ADJS!!!.

 Click here to see screen shot: file://akrshare01/share/nat/GBMS\GBMS\DLRREL\Common%20Problems\Govt%20Adjustment.docx

6) Tab, type the condition,
7) Tab, type the miles,
8) Tab, type the wheel position,
9) Tab, type Y or N for original equip
10) Tab, type current miles.
11) Tab to replacement prod code, space out the prod code,
12) Tab to buying price and space out the buying price. PRESS ENTER.
13) Go to Mdse Verify screen and bill out the replacement tire with billing code 'G' and the GS# at the governments buying price."""
